epoch,box,cls,obj,kpt,Recall,Precision,mAP@50,F1,mAP
159,1.215,0.574,1.346,0.209,0.471,0.797,0.536,0.592,0.260
160,1.185,0.565,1.316,0.207,0.471,0.796,0.536,0.592,0.260
161,1.206,0.569,1.337,0.209,0.471,0.797,0.536,0.592,0.260
162,1.209,0.576,1.339,0.208,0.471,0.796,0.536,0.592,0.260
163,1.155,0.558,1.285,0.208,0.471,0.797,0.536,0.592,0.260
164,1.180,0.557,1.317,0.211,0.473,0.794,0.537,0.593,0.261
165,1.170,0.561,1.313,0.208,0.473,0.794,0.537,0.593,0.261
166,1.204,0.567,1.348,0.211,0.473,0.795,0.537,0.593,0.261
167,1.200,0.569,1.323,0.205,0.473,0.794,0.538,0.593,0.261
168,1.196,0.570,1.330,0.207,0.474,0.794,0.538,0.594,0.261
169,1.215,0.579,1.340,0.210,0.474,0.795,0.539,0.594,0.262
170,1.174,0.558,1.313,0.208,0.474,0.796,0.539,0.594,0.262
171,1.184,0.562,1.310,0.207,0.474,0.796,0.539,0.594,0.262
172,1.194,0.569,1.310,0.207,0.474,0.797,0.539,0.594,0.262
173,1.167,0.561,1.298,0.204,0.475,0.797,0.540,0.595,0.262
174,1.198,0.574,1.332,0.206,0.475,0.797,0.540,0.595,0.262
175,1.165,0.553,1.300,0.210,0.475,0.797,0.540,0.595,0.262
176,1.197,0.567,1.300,0.206,0.475,0.797,0.540,0.595,0.262
177,1.204,0.572,1.341,0.210,0.474,0.798,0.540,0.595,0.263
178,1.210,0.570,1.341,0.210,0.475,0.797,0.540,0.595,0.263
179,1.210,0.575,1.365,0.206,0.475,0.795,0.540,0.595,0.263
180,1.194,0.568,1.308,0.205,0.475,0.797,0.540,0.595,0.263
181,1.194,0.568,1.340,0.204,0.475,0.797,0.540,0.595,0.263
182,1.227,0.581,1.352,0.205,0.475,0.796,0.540,0.595,0.263
183,1.187,0.562,1.318,0.209,0.476,0.796,0.540,0.595,0.263
184,1.203,0.568,1.353,0.210,0.476,0.796,0.540,0.596,0.263
185,1.210,0.578,1.319,0.206,0.476,0.794,0.540,0.595,0.264
186,1.170,0.552,1.300,0.207,0.476,0.794,0.540,0.595,0.264
187,1.155,0.552,1.306,0.209,0.477,0.792,0.541,0.596,0.264
188,1.208,0.573,1.345,0.208,0.477,0.793,0.541,0.596,0.264
189,1.173,0.562,1.324,0.209,0.477,0.794,0.541,0.596,0.264
190,1.142,0.541,1.284,0.211,0.478,0.793,0.541,0.596,0.264
191,1.228,0.581,1.363,0.203,0.478,0.794,0.541,0.596,0.264
192,1.188,0.566,1.303,0.205,0.478,0.793,0.541,0.597,0.264
193,1.190,0.565,1.301,0.205,0.478,0.794,0.541,0.597,0.264
194,1.197,0.568,1.353,0.208,0.478,0.795,0.541,0.597,0.264
195,1.175,0.556,1.293,0.208,0.477,0.797,0.541,0.597,0.264
196,1.176,0.559,1.309,0.207,0.477,0.796,0.541,0.597,0.264
197,1.187,0.561,1.322,0.207,0.478,0.795,0.541,0.597,0.264
198,1.175,0.561,1.300,0.206,0.478,0.796,0.541,0.597,0.264
199,1.191,0.569,1.314,0.204,0.479,0.794,0.542,0.597,0.265
200,1.194,0.565,1.312,0.199,0.479,0.794,0.542,0.597,0.265
201,1.142,0.540,1.271,0.208,0.478,0.794,0.542,0.597,0.265
202,1.218,0.576,1.341,0.204,0.479,0.793,0.542,0.597,0.265
203,1.205,0.579,1.324,0.200,0.479,0.794,0.542,0.597,0.265
204,1.164,0.565,1.295,0.202,0.479,0.794,0.542,0.597,0.265
205,1.133,0.544,1.268,0.208,0.479,0.794,0.542,0.597,0.265
206,1.202,0.571,1.315,0.206,0.479,0.792,0.542,0.597,0.265
207,1.179,0.565,1.316,0.204,0.479,0.793,0.542,0.597,0.265
208,1.208,0.572,1.362,0.202,0.480,0.792,0.543,0.598,0.265
209,1.230,0.578,1.349,0.202,0.479,0.794,0.543,0.598,0.265
210,1.175,0.559,1.305,0.206,0.480,0.794,0.542,0.598,0.265
211,1.164,0.557,1.302,0.207,0.480,0.793,0.543,0.598,0.265
212,1.197,0.574,1.304,0.202,0.480,0.794,0.543,0.598,0.265
213,1.176,0.557,1.313,0.202,0.480,0.794,0.543,0.598,0.265
214,1.158,0.553,1.294,0.205,0.481,0.793,0.543,0.599,0.265
215,1.169,0.561,1.317,0.206,0.481,0.793,0.542,0.599,0.265
216,1.157,0.552,1.291,0.203,0.480,0.794,0.542,0.598,0.265
217,1.207,0.576,1.325,0.199,0.481,0.794,0.543,0.599,0.266
218,1.170,0.563,1.278,0.207,0.481,0.793,0.543,0.599,0.266
219,1.174,0.562,1.304,0.205,0.481,0.793,0.543,0.599,0.266
220,1.146,0.552,1.271,0.207,0.481,0.793,0.543,0.599,0.266
221,1.156,0.559,1.262,0.201,0.481,0.791,0.544,0.599,0.266
222,1.210,0.580,1.328,0.204,0.482,0.791,0.544,0.599,0.266
223,1.181,0.561,1.315,0.207,0.482,0.791,0.544,0.599,0.266
224,1.158,0.558,1.296,0.204,0.483,0.789,0.544,0.599,0.266
225,1.198,0.575,1.317,0.202,0.483,0.790,0.544,0.599,0.266
226,1.158,0.552,1.270,0.203,0.482,0.792,0.544,0.600,0.266
227,1.202,0.578,1.320,0.202,0.483,0.791,0.545,0.600,0.266
228,1.173,0.562,1.293,0.206,0.483,0.791,0.545,0.600,0.266
229,1.154,0.556,1.277,0.208,0.483,0.792,0.545,0.600,0.266
230,1.188,0.570,1.310,0.202,0.483,0.793,0.545,0.600,0.266
